threshold_name,clinical_anchor,threshold
MAP_SOFT,70.0,72.0
MAP_STR,65.0,70.0
LAC_SOFT,1.5,1.5
LAC_STR,2.0,2.0
CR_SOFT,1.2,1.5
CR_STR,2.0,2.5
BUN_SOFT,30.0,40.0
BUN_STR,40.0,50.0
TB_SOFT,1.2,1.2
TB_STR,2.0,2.0
AST_SOFT,60.0,75.0
AST_STR,100.0,100.0
ALT_SOFT,50.0,65.0
ALT_STR,80.0,80.0
INR_SOFT,1.2,1.3
INR_STR,1.4,1.5
PLT_SOFT,150.0,150.0
PLT_STR,100.0,100.0
HCO3_SOFT,22.0,22.0
HCO3_STR,20.0,20.0
CORE_AST_SOFT,75.0,75.0
CORE_AST_STR,100.0,100.0
PF_MILD,300.0,250.0
PF_MOD,200.0,200.0
PF_STR,100.0,150.0
FIO2_MILD,30.0,40.0
FIO2_MOD,45.0,45.0
FIO2_HIGH,50.0,50.0
FIO2_VHIGH,60.0,60.0
RR_TACHY,22.0,22.0
TB_MIX,,1.6
AST_MIX,,87.5
ALT_MIX,,72.5
FIO2_ROOM,21.0,25.0
MAP_A2,78.0,78.0
PF_A2,320.0,275.0
HCO3_A2,24.0,24.0
HGB_A2,10.5,8.8
FIO2_A2,40.0,40.0
SCORE_CUT,,2.0
PF_REFRACTORY,100.0,100.0
PH_CRISIS_LOW,7.25,7.25
PH_CRISIS_HIGH,7.55,7.55
TB_FAILURE,5.0,5.0
AST_FAILURE,500.0,500.0
ALT_FAILURE,500.0,500.0
CR_FAILURE,5.1,5.1
PLT_FAILURE,30.0,30.0
HGB_FAILURE,7.0,7.0
INR_FAILURE,2.0,2.0
NA_CRISIS_LOW,130.0,130.0
NA_CRISIS_HIGH,150.0,150.0
K_CRISIS_LOW,3.0,3.0
K_CRISIS_HIGH,6.0,6.0
CL_CRISIS_LOW,92.0,92.0
CL_CRISIS_HIGH,112.0,112.0
GLU_SEV,400.0,400.0
GLU_HIGH,250.0,250.0
RR_RESP,24.0,24.0
PH_RESP_LOW,7.35,7.35
PH_RESP_HIGH,7.45,7.45
PCO2_HIGH,45.0,45.0
PCO2_LOW,35.0,35.0
HGB_SOFT,10.0,10.0
