itemid,label,abbreviation,category,matched_test
50802,Base Excess,Blood,Blood Gas,cBase
50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,cHCO3
50804,Calculated Total CO2,Blood,Blood Gas,cCO2
50806,"Chloride, Whole Blood",Blood,Blood Gas,cCl.
50809,Glucose,Blood,Blood Gas,cGlu.
50810,"Hematocrit, Calculated",Blood,Blood Gas,cHct.
50811,Hemoglobin,Blood,Blood Gas,cHem.
50813,Lactate,Blood,Blood Gas,cLac.
50817,Oxygen Saturation,Blood,Blood Gas,sO2
50818,pCO2,Blood,Blood Gas,pCO2
50819,PEEP,Blood,Blood Gas,cPEEP
50820,pH,Blood,Blood Gas,cPH
50821,pO2,Blood,Blood Gas,pO2
50822,"Potassium, Whole Blood",Blood,Blood Gas,cK.
50824,"Sodium, Whole Blood",Blood,Blood Gas,cNa.
50825,Temperature,Blood,Blood Gas,Temperature
50852,% Hemoglobin A1c,Blood,Chemistry,HbA1c
50861,Alanine Aminotransferase (ALT),Blood,Chemistry,ALT
50862,Albumin,Blood,Chemistry,Albumin
50863,Alkaline Phosphatase,Blood,Chemistry,ALP
50868,Anion Gap,Blood,Chemistry,AnionGap
50878,Asparate Aminotransferase (AST),Blood,Chemistry,AST
50882,Bicarbonate,Blood,Chemistry,HCO3
50885,"Bilirubin, Total",Blood,Chemistry,TotalBilirubin
50889,C-Reactive Protein,Blood,Chemistry,CRP
50893,"Calcium, Total",Blood,Chemistry,Calcium
50902,Chloride,Blood,Chemistry,Chlor
50910,Creatine Kinase (CK),Blood,Chemistry,CK
50912,Creatinine,Blood,Chemistry,Creatinine
50915,D-Dimer,Blood,Chemistry,DDimer
50920,Estimated GFR (MDRD equation),Blood,Chemistry,eGFR
50924,Ferritin,Blood,Chemistry,Ferritin
50927,Gamma Glutamyltransferase,Blood,Chemistry,gGTP
50931,Glucose,Blood,Chemistry,Glucose
50954,Lactate Dehydrogenase (LD),Blood,Chemistry,LDH
50960,Magnesium,Blood,Chemistry,Magnesium
50963,NTproBNP,Blood,Chemistry,BNP
50971,Potassium,Blood,Chemistry,Potassium
50983,Sodium,Blood,Chemistry,Sodium
51003,Troponin T,Blood,Chemistry,TroponinT
51006,Urea Nitrogen,Blood,Chemistry,UreaNitrogen
51007,Uric Acid,Blood,Chemistry,UricAcid
51133,Absolute Lymphocyte Count,Blood,Hematology,Lymphocytes_abs
51141,APT Test,Blood,Hematology,APTT
