variable_order,variable,normalization_family
1,HR,orderNorm
2,SpO2,lambert_s
3,RR,log10
4,Sodium,sqrt
5,Creatinine,orderNorm
6,UreaNitrogen,arcsinh
7,HCO3,log10
8,Potassium,orderNorm
9,Hematocrit,orderNorm
10,AnionGap,orderNorm
11,Hemoglobin,orderNorm
12,WBC,orderNorm
13,PlateletCount,orderNorm
14,MCH,zscore
15,MCHC,orderNorm
16,RBC,orderNorm
17,Temperature,orderNorm
18,MCV,zscore
19,Glucose,orderNorm
20,Magnesium,orderNorm
21,Phosphorous,orderNorm
22,FiO2,orderNorm
23,INR,orderNorm
24,PTT,orderNorm
25,Chloride,orderNorm
26,MAP,log10
27,SYS,orderNorm
28,DIAS,arcsinh
29,cBase,zscore
30,pCO2,orderNorm
31,CO2,orderNorm
32,Lactate,orderNorm
33,CalciumIonized,zscore
34,ALT,orderNorm
35,AST,orderNorm
36,TotalBilirubin,orderNorm
37,pH,orderNorm
38,PF,orderNorm
